Scheme	Time (s)	Delay (ms)
bbr	4.027353	22.21
bbr	4.031536	22.80
bbr	4.033621	24.86
bbr	4.034227	21.82
bbr	4.048313	35.88
bbr	4.048345	32.29
bbr	4.048374	32.27
bbr	4.048382	28.81
bbr	4.048391	28.79
bbr	4.049559	26.37
bbr	4.053689	30.47
bbr	4.054770	27.98
bbr	4.056872	30.05
bbr	4.058044	27.62
bbr	4.059449	28.99
bbr	4.061758	27.71
bbr	4.062984	28.90
bbr	4.064180	26.51
bbr	4.064253	26.55
bbr	4.067647	26.25
bbr	4.067683	26.20
bbr	4.067736	22.81
bbr	4.068718	23.76
bbr	4.078771	30.29
bbr	4.078803	30.28
bbr	4.078831	26.59
bbr	4.078839	26.50
bbr	4.078847	26.49
bbr	4.078876	26.51
bbr	4.078900	23.09
bbr	4.078928	23.08
bbr	4.080862	21.49
bbr	4.081143	21.69
bbr	4.084482	21.47
bbr	4.086586	23.50
bbr	4.088360	21.81
bbr	4.089434	22.84
bbr	4.091568	21.34
bbr	4.091637	21.38
bbr	4.101583	27.82
bbr	4.102696	28.89
bbr	4.102730	25.35
bbr	4.102774	25.36
bbr	4.102792	21.80
bbr	4.102827	21.80
bbr	4.107797	23.13
bbr	4.109016	24.29
bbr	4.111147	22.93
bbr	4.113324	25.07
bbr	4.113354	21.51
bbr	4.113380	21.50
bbr	4.117330	21.89
bbr	4.117423	21.95
bbr	4.120799	21.67
bbr	4.129290	30.13
bbr	4.129349	26.68
bbr	4.129368	26.66
bbr	4.129379	23.06
bbr	4.129409	23.02
bbr	4.131636	21.72
bbr	4.131733	21.78
bbr	4.134888	21.36
bbr	4.137274	23.69
bbr	4.138393	21.22
bbr	4.139357	22.14
bbr	4.142591	21.74
bbr	4.142715	21.77
bbr	4.146134	21.57
bbr	4.148216	23.54
bbr	4.149369	21.33
bbr	4.150594	22.48
bbr	4.152740	21.41
bbr	4.153997	22.62
bbr	4.157139	22.39
bbr	4.157195	22.40
bbr	4.159280	21.19
bbr	4.160408	22.28
bbr	4.166768	25.32
bbr	4.166898	25.42
bbr	4.166926	22.11
bbr	4.166981	22.13
bbr	4.169935	21.77
bbr	4.171037	22.83
bbr	4.172161	20.58
bbr	4.181928	30.30
bbr	4.181969	27.05
bbr	4.193597	38.64
bbr	4.193692	35.42
bbr	4.193734	35.37
bbr	4.193744	32.08
bbr	4.193752	32.05
bbr	4.193779	28.65
bbr	4.193805	28.59
bbr	4.193829	25.45
bbr	4.193856	25.44
bbr	4.193880	22.12
bbr	4.194502	22.71
bbr	4.198717	23.60
bbr	4.199928	24.78
bbr	4.202147	23.66
bbr	4.203308	24.78
bbr	4.203427	21.57
bbr	4.205704	23.81
bbr	4.206854	21.51
bbr	4.209011	23.59
bbr	4.210147	21.55
bbr	4.210181	21.54
bbr	4.213249	21.23
bbr	4.214363	22.27
bbr	4.216799	21.47
bbr	4.218881	23.52
bbr	4.218957	23.57
bbr	4.221025	25.63
bbr	4.222161	23.46
bbr	4.223304	24.58
bbr	4.223368	21.23
bbr	4.224413	22.18
bbr	4.234320	28.88
bbr	4.234371	28.88
bbr	4.234385	25.56
bbr	4.234394	25.53
bbr	4.234426	22.25
bbr	4.235471	23.25
bbr	4.249667	34.09
bbr	4.249703	34.10
bbr	4.259222	40.31
bbr	4.259262	40.29
bbr	4.259275	36.98
bbr	4.259285	36.97
bbr	4.259295	33.66
bbr	4.259306	33.63
bbr	4.260321	31.30
bbr	4.260357	31.30
bbr	4.260408	28.02
bbr	4.260426	28.00
bbr	4.260463	24.71
bbr	4.260481	24.70
bbr	4.260516	21.40
bbr	4.260543	21.39
bbr	4.266617	24.13
bbr	4.266664	24.14
bbr	4.266683	21.53
bbr	4.267712	22.53
bbr	4.270806	22.95
bbr	4.270870	22.98
bbr	4.271956	21.54
bbr	4.274049	23.60
