Scheme	Time (s)	Delay (ms)
pybbr	4.080145	44.97
pybbr	4.081292	45.30
pybbr	4.082449	44.42
pybbr	4.084884	45.60
pybbr	4.086083	45.99
pybbr	4.086099	44.77
pybbr	4.087097	44.98
pybbr	4.088211	44.02
pybbr	4.090805	45.76
pybbr	4.091907	45.67
pybbr	4.093029	45.95
pybbr	4.093046	44.72
pybbr	4.094194	43.83
pybbr	4.096567	45.38
pybbr	4.097698	45.69
pybbr	4.098794	45.57
pybbr	4.099910	45.87
pybbr	4.101021	44.27
pybbr	4.102100	44.92
pybbr	4.103234	45.24
pybbr	4.104337	44.83
pybbr	4.105415	44.80
pybbr	4.107551	45.20
pybbr	4.108648	45.49
pybbr	4.110012	43.45
pybbr	4.110028	40.07
pybbr	4.111127	37.85
pybbr	4.112191	35.50
pybbr	4.115371	35.31
pybbr	4.116470	28.99
pybbr	4.121144	30.28
pybbr	4.123492	29.30
pybbr	4.126899	29.30
pybbr	4.130192	29.22
pybbr	4.133438	29.13
pybbr	4.136901	29.16
pybbr	4.140483	29.40
pybbr	4.144251	29.78
pybbr	4.147102	29.29
pybbr	4.150795	29.57
pybbr	4.153619	29.03
pybbr	4.157523	29.58
pybbr	4.160202	28.92
pybbr	4.163102	28.42
pybbr	4.166816	29.25
pybbr	4.168646	30.18
pybbr	4.169709	30.31
pybbr	4.170566	30.20
pybbr	4.171527	30.21
pybbr	4.172454	30.17
pybbr	4.174338	31.14
pybbr	4.175401	31.27
pybbr	4.176158	31.08
pybbr	4.177097	31.09
pybbr	4.178057	31.10
pybbr	4.180125	32.23
pybbr	4.181935	33.11
pybbr	4.182764	33.00
pybbr	4.183697	32.98
pybbr	4.184631	32.99
pybbr	4.186529	33.95
pybbr	4.187591	34.07
pybbr	4.188395	33.94
pybbr	4.189333	33.96
pybbr	4.190307	33.97
pybbr	4.192200	34.91
pybbr	4.193263	35.02
pybbr	4.194033	34.88
pybbr	4.195094	34.99
pybbr	4.196928	35.90
pybbr	4.198780	36.81
pybbr	4.199889	36.97
pybbr	4.200699	36.86
pybbr	4.201606	36.83
pybbr	4.202575	36.85
pybbr	4.204412	37.69
pybbr	4.205505	37.88
pybbr	4.206255	37.69
pybbr	4.207204	37.67
pybbr	4.208093	37.62
pybbr	4.210108	38.68
pybbr	4.211958	39.61
pybbr	4.212796	39.51
pybbr	4.213761	39.51
pybbr	4.214751	39.59
pybbr	4.216609	40.51
pybbr	4.217704	40.66
pybbr	4.218486	40.50
pybbr	4.219452	40.53
pybbr	4.220343	40.52
pybbr	4.222176	41.38
pybbr	4.223236	41.51
pybbr	4.224309	41.61
pybbr	4.225091	41.46
pybbr	4.226221	41.65
pybbr	4.228853	43.34
pybbr	4.229945	43.50
pybbr	4.230715	43.31
pybbr	4.231676	43.34
pybbr	4.232582	43.31
pybbr	4.234427	44.22
pybbr	4.235490	44.35
pybbr	4.236365	44.25
pybbr	4.237277	44.22
pybbr	4.238212	44.25
pybbr	4.240190	44.32
pybbr	4.242077	45.28
pybbr	4.242093	44.34
pybbr	4.243873	45.18
pybbr	4.244811	44.25
pybbr	4.246697	45.21
pybbr	4.247798	45.36
pybbr	4.248541	45.16
pybbr	4.249512	45.21
pybbr	4.250443	44.26
pybbr	4.253387	46.30
pybbr	4.253402	45.37
pybbr	4.254129	45.16
pybbr	4.255141	44.30
pybbr	4.256219	43.50
pybbr	4.258878	45.19
pybbr	4.259986	45.36
pybbr	4.260744	45.19
pybbr	4.261699	45.20
pybbr	4.262628	44.25
pybbr	4.264521	45.20
pybbr	4.265595	45.37
pybbr	4.266337	45.15
pybbr	4.267313	45.18
pybbr	4.268267	43.33
pybbr	4.270088	44.21
pybbr	4.271179	44.37
pybbr	4.272275	44.52
pybbr	4.273929	45.24
pybbr	4.274982	44.41
pybbr	4.276485	44.98
pybbr	4.277628	45.19
pybbr	4.278562	45.18
pybbr	4.279679	45.36
pybbr	4.280185	43.99
pybbr	4.282310	45.18
pybbr	4.283818	45.75
pybbr	4.284322	45.31
pybbr	4.285441	44.59
pybbr	4.286433	43.66
pybbr	4.288619	44.90
pybbr	4.290037	45.40
pybbr	4.290052	44.48
pybbr	4.291180	44.66
pybbr	4.292238	43.84
pybbr	4.294199	44.87
pybbr	4.295281	45.01
pybbr	4.296385	45.18
pybbr	4.297374	45.23
pybbr	4.298380	44.36
pybbr	4.300425	45.46
pybbr	4.301527	44.70
pybbr	4.302619	44.85
pybbr	4.303129	44.41
pybbr	4.304235	43.64
pybbr	4.306250	44.71
pybbr	4.307336	44.87
pybbr	4.308342	44.94
pybbr	4.309454	45.11
pybbr	4.310536	44.35
pybbr	4.312611	45.44
pybbr	4.313712	45.62
pybbr	4.314627	45.58
pybbr	4.315725	45.76
pybbr	4.316174	43.42
pybbr	4.318279	44.55
pybbr	4.319831	44.55
pybbr	4.320378	43.53
pybbr	4.321448	43.05
pybbr	4.322411	42.40
pybbr	4.324592	43.06
pybbr	4.325141	42.04
pybbr	4.326190	41.53
pybbr	4.327186	40.92
pybbr	4.328263	40.48
pybbr	4.331384	41.99
pybbr	4.331398	40.41
pybbr	4.332445	39.93
pybbr	4.333361	39.29
pybbr	4.334458	38.81
pybbr	4.336055	38.85
pybbr	4.337596	38.84
pybbr	4.339135	38.84
pybbr	4.339147	37.27
pybbr	4.340190	36.71
pybbr	4.342275	37.21
pybbr	4.343341	36.70
pybbr	4.344264	36.04
pybbr	4.345361	35.54
pybbr	4.346428	35.08
pybbr	4.348085	35.20
pybbr	4.349184	34.71
pybbr	4.350216	34.18
pybbr	4.351511	33.93
pybbr	4.353831	34.68
pybbr	4.354040	33.28
pybbr	4.355097	32.80
pybbr	4.356154	32.27
pybbr	4.357366	31.91
pybbr	4.358586	31.56
pybbr	4.361106	32.49
pybbr	4.361121	30.97
pybbr	4.362199	30.50
pybbr	4.364525	31.26
pybbr	4.364540	29.71
pybbr	4.367078	30.69
pybbr	4.367092	29.14
pybbr	4.368175	28.66
pybbr	4.370492	29.39
pybbr	4.372937	30.30
pybbr	4.373997	29.80
pybbr	4.374244	28.51
pybbr	4.376318	29.39
pybbr	4.378315	30.19
pybbr	4.379385	30.11
pybbr	4.380074	29.61
pybbr	4.381212	29.57
pybbr	4.382236	29.40
pybbr	4.384611	30.66
pybbr	4.385831	30.66
pybbr	4.386923	30.54
pybbr	4.387068	29.49
pybbr	4.389287	30.54
pybbr	4.390379	30.45
pybbr	4.391670	30.46
pybbr	4.392734	30.39
pybbr	4.393993	30.48
pybbr	4.395145	30.43
pybbr	4.396269	30.36
pybbr	4.397452	30.37
pybbr	4.398552	30.35
pybbr	4.399942	30.56
pybbr	4.400158	29.55
pybbr	4.402273	30.53
pybbr	4.403393	30.48
pybbr	4.404501	30.39
pybbr	4.405868	30.61
pybbr	4.407099	30.66
pybbr	4.408247	30.64
pybbr	4.410309	31.50
pybbr	4.411721	31.73
pybbr	4.413025	31.87
pybbr	4.415377	33.05
pybbr	4.415395	31.93
pybbr	4.416440	31.76
pybbr	4.417665	31.82
pybbr	4.418934	31.95
pybbr	4.420202	32.02
pybbr	4.422368	33.01
pybbr	4.422399	31.87
pybbr	4.423708	32.00
pybbr	4.424841	31.96
pybbr	4.426098	32.07
pybbr	4.427227	32.03
pybbr	4.428315	31.84
pybbr	4.429603	31.95
pybbr	4.430783	31.96
pybbr	4.432161	32.12
pybbr	4.433267	32.09
pybbr	4.435457	33.11
pybbr	4.435473	31.91
pybbr	4.436634	31.88
pybbr	4.438030	32.07
pybbr	4.439099	32.00
pybbr	4.441299	33.05
pybbr	4.441314	31.90
pybbr	4.442548	31.84
pybbr	4.445071	33.20
pybbr	4.445118	32.06
