Scheme	Traffic	Time (s)	Throughput (Mbit/s)
eagle-v3	ingress	8.40	2.16
eagle-v3	ingress	8.55	5.84
eagle-v3	ingress	8.70	20.00
eagle-v3	ingress	8.85	20.16
eagle-v3	ingress	9.00	18.32
eagle-v3	ingress	9.15	16.64
eagle-v3	ingress	9.30	16.16
eagle-v3	ingress	9.45	11.20
eagle-v3	ingress	9.60	12.80
eagle-v3	ingress	9.75	6.80
eagle-v3	ingress	9.90	2.96
eagle-v3	ingress	10.05	11.60
eagle-v3	ingress	10.20	12.80
eagle-v3	ingress	10.35	25.12
eagle-v3	ingress	10.50	15.68
eagle-v3	ingress	10.65	20.16
eagle-v3	ingress	10.80	15.68
eagle-v3	ingress	10.95	20.96
eagle-v3	ingress	11.10	18.08
eagle-v3	ingress	11.25	14.56
eagle-v3	ingress	11.40	12.80
eagle-v3	ingress	11.55	24.24
eagle-v3	ingress	11.70	27.20
eagle-v3	ingress	11.85	22.40
eagle-v3	ingress	12.00	22.08
eagle-v3	ingress	12.15	18.72
eagle-v3	ingress	12.30	23.84
eagle-v3	ingress	12.45	22.08
eagle-v3	ingress	12.60	18.80
eagle-v3	ingress	12.75	19.92
eagle-v3	ingress	12.90	22.56
eagle-v3	ingress	13.05	16.96
eagle-v3	ingress	13.20	11.84
eagle-v3	ingress	13.35	9.12
eagle-v3	ingress	13.50	15.44
eagle-v3	ingress	13.65	18.40
eagle-v3	ingress	13.80	17.12
eagle-v3	ingress	13.95	17.04
eagle-v3	ingress	14.10	16.72
eagle-v3	ingress	14.25	14.32
eagle-v3	ingress	14.40	11.36
eagle-v3	ingress	14.55	7.84
eagle-v3	ingress	14.70	5.60
eagle-v3	ingress	14.85	5.92
eagle-v3	ingress	15.00	5.84
eagle-v3	ingress	15.15	6.72
eagle-v3	ingress	15.30	9.44
eagle-v3	ingress	15.45	10.32
eagle-v3	ingress	15.60	7.84
eagle-v3	ingress	15.75	7.92
eagle-v3	ingress	15.90	4.16
eagle-v3	ingress	16.05	2.80
eagle-v3	ingress	16.20	2.64
eagle-v3	ingress	16.35	3.12
eagle-v3	ingress	16.50	4.08
eagle-v3	ingress	16.65	4.72
eagle-v3	ingress	16.80	7.12
eagle-v3	ingress	16.95	5.36
eagle-v3	ingress	17.10	5.12
eagle-v3	ingress	17.25	6.24
eagle-v3	ingress	17.40	7.76
eagle-v3	ingress	17.55	7.52
eagle-v3	ingress	17.70	4.88
eagle-v3	ingress	17.85	6.32
eagle-v3	ingress	18.00	7.84
eagle-v3	ingress	18.15	7.84
eagle-v3	ingress	18.30	3.60
eagle-v3	ingress	18.45	3.44
eagle-v3	ingress	18.60	7.04
eagle-v3	ingress	18.75	2.32
eagle-v3	ingress	18.90	1.76
eagle-v3	ingress	19.05	1.20
eagle-v3	ingress	19.20	1.76
eagle-v3	ingress	19.35	0.32
eagle-v3	ingress	19.50	0.08
eagle-v3	ingress	19.65	0.08
eagle-v3	ingress	19.80	0.08
eagle-v3	ingress	19.95	0.08
eagle-v3	ingress	20.10	0.08
eagle-v3	ingress	20.25	0.00
eagle-v3	ingress	20.40	0.08
eagle-v3	ingress	20.55	0.08
eagle-v3	ingress	20.70	0.00
eagle-v3	ingress	20.85	0.08
eagle-v3	ingress	21.00	0.00
eagle-v3	ingress	21.15	0.08
eagle-v3	ingress	21.30	0.08
eagle-v3	ingress	21.45	0.08
eagle-v3	ingress	21.60	0.00
eagle-v3	ingress	21.75	0.00
eagle-v3	ingress	21.90	0.08
eagle-v3	ingress	22.05	0.08
eagle-v3	ingress	22.20	0.00
eagle-v3	ingress	22.35	0.08
eagle-v3	ingress	22.50	0.00
eagle-v3	ingress	22.65	0.00
eagle-v3	ingress	22.80	0.08
eagle-v3	ingress	22.95	0.00
eagle-v3	ingress	23.10	0.00
eagle-v3	ingress	23.25	0.00
eagle-v3	ingress	23.40	0.08
eagle-v3	ingress	23.55	0.00
eagle-v3	ingress	23.70	0.00
eagle-v3	ingress	23.85	0.00
eagle-v3	ingress	24.00	0.08
eagle-v3	ingress	24.15	0.00
eagle-v3	ingress	24.30	0.00
eagle-v3	ingress	24.45	0.00
eagle-v3	ingress	24.60	0.00
eagle-v3	ingress	24.75	0.00
eagle-v3	ingress	24.90	0.00
eagle-v3	ingress	25.05	0.08
eagle-v3	ingress	25.20	0.00
eagle-v3	ingress	25.35	0.00
eagle-v3	ingress	25.50	0.00
eagle-v3	ingress	25.65	0.00
eagle-v3	ingress	25.80	0.00
eagle-v3	ingress	25.95	0.00
eagle-v3	ingress	26.10	0.00
eagle-v3	ingress	26.25	0.08
eagle-v3	ingress	26.40	0.00
eagle-v3	ingress	26.55	0.00
eagle-v3	ingress	26.70	0.00
eagle-v3	ingress	26.85	0.00
eagle-v3	ingress	27.00	0.00
eagle-v3	ingress	27.15	0.00
eagle-v3	ingress	27.30	0.00
eagle-v3	ingress	27.45	0.08
eagle-v3	ingress	27.60	0.00
eagle-v3	ingress	27.75	0.00
eagle-v3	ingress	27.90	0.00
eagle-v3	ingress	28.05	0.00
eagle-v3	ingress	28.20	0.00
eagle-v3	ingress	28.35	0.00
eagle-v3	ingress	28.50	0.08
eagle-v3	ingress	28.65	0.00
eagle-v3	ingress	28.80	0.00
eagle-v3	ingress	28.95	0.00
eagle-v3	ingress	29.10	0.00
eagle-v3	ingress	29.25	0.00
eagle-v3	ingress	29.40	0.00
eagle-v3	ingress	29.55	0.08
eagle-v3	ingress	29.70	0.00
eagle-v3	ingress	29.85	0.00
eagle-v3	ingress	30.00	0.00
eagle-v3	ingress	30.15	0.00
eagle-v3	ingress	30.30	0.00
eagle-v3	ingress	30.45	0.00
eagle-v3	ingress	30.60	0.08
eagle-v3	ingress	30.75	0.00
eagle-v3	ingress	30.90	0.00
eagle-v3	ingress	31.05	0.00
eagle-v3	ingress	31.20	0.00
eagle-v3	ingress	31.35	0.00
eagle-v3	ingress	31.50	0.08
eagle-v3	ingress	31.65	0.00
eagle-v3	ingress	31.80	0.00
eagle-v3	ingress	31.95	0.00
eagle-v3	ingress	32.10	0.00
eagle-v3	ingress	32.25	0.08
