Scheme	Traffic	Time (s)	Throughput (Mbit/s)
aurora	ingress	25.50	4.25
aurora	ingress	25.65	4.22
aurora	ingress	25.80	4.47
aurora	ingress	25.95	4.81
aurora	ingress	26.10	4.75
aurora	ingress	26.25	4.64
aurora	ingress	26.40	5.15
aurora	ingress	26.55	5.15
aurora	ingress	26.70	5.15
aurora	ingress	26.85	5.66
aurora	ingress	27.00	5.50
aurora	ingress	27.15	5.75
aurora	ingress	27.30	5.41
aurora	ingress	27.45	5.58
aurora	ingress	27.60	5.58
aurora	ingress	27.75	4.84
aurora	ingress	27.90	4.13
aurora	ingress	28.05	3.96
aurora	ingress	28.20	4.08
aurora	ingress	28.35	3.62
aurora	ingress	28.50	3.54
aurora	ingress	28.65	3.57
aurora	ingress	28.80	3.20
aurora	ingress	28.95	2.63
aurora	ingress	29.10	2.43
aurora	ingress	29.25	2.46
aurora	ingress	29.40	2.26
aurora	ingress	29.55	2.21
aurora	ingress	29.70	2.29
aurora	ingress	29.85	2.26
aurora	ingress	30.00	2.29
aurora	ingress	30.15	2.12
aurora	ingress	30.30	2.35
aurora	ingress	30.45	2.89
aurora	ingress	30.60	2.77
aurora	ingress	30.75	2.63
aurora	ingress	30.90	2.77
aurora	ingress	31.05	2.80
aurora	ingress	31.20	2.69
aurora	ingress	31.35	2.80
aurora	ingress	31.50	2.77
aurora	ingress	31.65	2.80
aurora	ingress	31.80	2.77
aurora	ingress	31.95	3.40
aurora	ingress	32.10	3.20
aurora	ingress	32.25	3.14
aurora	ingress	32.40	2.77
aurora	ingress	32.55	2.72
aurora	ingress	32.70	2.69
aurora	ingress	32.85	2.29
aurora	ingress	33.00	2.29
aurora	ingress	33.15	0.14
bbr	egress	3.15	0.00
bbr	egress	3.30	1.37
bbr	egress	3.45	4.72
bbr	egress	3.60	3.36
bbr	egress	3.75	6.16
bbr	egress	3.90	6.24
bbr	egress	4.05	6.40
bbr	egress	4.20	7.04
bbr	egress	4.35	7.60
bbr	egress	4.50	8.48
bbr	egress	4.65	7.68
bbr	egress	4.80	5.92
bbr	egress	4.95	7.60
